REGIONE_VISITATA,MOTIVO_VIAGGIO_97,Totale
ABRUZZO,VACANZE,5187
ABRUZZO,PARENTI,3951
ABRUZZO,OCCASIONALE,1807
ABRUZZO,AMICI,776
ABRUZZO,STUDIO,446
BASILICATA,VACANZE,1064
BASILICATA,PARENTI,460
BASILICATA,OCCASIONALE,261
BASILICATA,AMICI,78
BASILICATA,STUDIO,55
CALABRIA,VACANZE,2239
CALABRIA,PARENTI,1524
CALABRIA,OCCASIONALE,589
CALABRIA,STUDIO,225
CALABRIA,AMICI,131
CAMPANIA,VACANZE,37163
CAMPANIA,PARENTI,6394
CAMPANIA,OCCASIONALE,5507
CAMPANIA,STUDIO,2479
CAMPANIA,AMICI,1387
EMILIA-ROMAGNA,VACANZE,25014
EMILIA-ROMAGNA,OCCASIONALE,16795
EMILIA-ROMAGNA,PARENTI,5468
EMILIA-ROMAGNA,STUDIO,3683
EMILIA-ROMAGNA,AMICI,2665
FRIULI VENEZIA GIULIA,VACANZE,14752
FRIULI VENEZIA GIULIA,SHOPPING,12164
FRIULI VENEZIA GIULIA,TRANSITO,9706
FRIULI VENEZIA GIULIA,OCCASIONALE,6266
FRIULI VENEZIA GIULIA,PARENTI,3819
LAZIO,VACANZE,129694
LAZIO,OCCASIONALE,26544
LAZIO,TRANSITO,16469
LAZIO,PARENTI,11328
LAZIO,STUDIO,10039
LIGURIA,VACANZE,28029
LIGURIA,SHOPPING,6429
LIGURIA,OCCASIONALE,5064
LIGURIA,TRANSITO,4126
LIGURIA,PARENTI,3211
LOMBARDIA,VACANZE,66677
LOMBARDIA,OCCASIONALE,61766
LOMBARDIA,SHOPPING,20391
LOMBARDIA,PARENTI,19089
LOMBARDIA,AMICI,12695
MARCHE,VACANZE,6835
MARCHE,TRANSITO,3295
MARCHE,OCCASIONALE,3125
MARCHE,PARENTI,2660
MARCHE,AMICI,885
MOLISE,PARENTI,555
MOLISE,VACANZE,446
MOLISE,OCCASIONALE,233
MOLISE,ALTRO,50
MOLISE,STUDIO,45
PIEMONTE,OCCASIONALE,17337
PIEMONTE,VACANZE,16284
PIEMONTE,PARENTI,7144
PIEMONTE,AMICI,3743
PIEMONTE,STUDIO,2093
PUGLIA,VACANZE,11437
PUGLIA,PARENTI,3753
PUGLIA,OCCASIONALE,3528
PUGLIA,STUDIO,739
PUGLIA,AMICI,687
SARDEGNA,VACANZE,25641
SARDEGNA,PARENTI,2831
SARDEGNA,OCCASIONALE,1097
SARDEGNA,AMICI,496
SARDEGNA,STUDIO,481
SICILIA,VACANZE,36234
SICILIA,PARENTI,5343
SICILIA,OCCASIONALE,2299
SICILIA,STUDIO,1229
SICILIA,AMICI,993
TOSCANA,VACANZE,122064
TOSCANA,OCCASIONALE,14195
TOSCANA,STUDIO,10536
TOSCANA,PARENTI,7560
TOSCANA,AMICI,3600
TRENTINO ALTO ADIGE,VACANZE,20264
TRENTINO ALTO ADIGE,OCCASIONALE,5273
TRENTINO ALTO ADIGE,PARENTI,1944
TRENTINO ALTO ADIGE,AMICI,909
TRENTINO ALTO ADIGE,STUDIO,553
UMBRIA,VACANZE,7484
UMBRIA,STUDIO,1361
UMBRIA,OCCASIONALE,1159
UMBRIA,PARENTI,1013
UMBRIA,AMICI,482
VALLE D'AOSTA,VACANZE,7165
VALLE D'AOSTA,PARENTI,770
VALLE D'AOSTA,OCCASIONALE,672
VALLE D'AOSTA,TRANSITO,277
VALLE D'AOSTA,AMICI,245
VENETO,VACANZE,128152
VENETO,OCCASIONALE,20520
VENETO,PARENTI,6609
VENETO,STUDIO,5600
VENETO,TRANSITO,4527
